Schools,Section,Years,Wiki hyperlinks,Award,Outreach Category,Event Names,Project Tags,Audiences,Goals,Descriptions
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Contribution to METU HS Ankara Lab Protocols Collection,Community Event,iGEM Teams,Educate on iGEM Program,Translated iGEM protocols into German in collaboration with iGEM METU HS Ankara.   Contribution to METU HS Ankara Lab Protocols Collection by translating iGEM protocol into German 
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Maker Faire,"Project Presentation, Community Event","iGEM Teams, Secondary School Students, Teachers","Educate on Synthetic Biology, Present iGEM Project","Participated in a MakerFaire to promote their DIY bioreactor   Attend the MakerFaire in Hannover to demonstrate the first prototype of self-made, small-scale bioreactor   Initiate collaboration with the iGEM Team Bielefeld and gain valuable ideas concerning use of pumps in microfluidics   Have discussions and give explanations to not only teach others about DIY biology, but also learn about the principles of openly shared knowledge and the opportunities this generates   Present and demonstrate bioreactor to children and teachers "
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Düsseldorf,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students","Present iGEM Project, Educate on Synthetic Biology","Organized a Biotech Day for two schools to teach about iGEM, synthetic biology, and safety.   Organize a ""Biotech Day"" and present the project to a large group of students   Address safety issues in ethics of synthetic biology   Answer their questions about synbio and the project  "
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Community Labs,"Conference/Panel Discussion, Consult Experts","iGEM Teams, Vendors/Businesses, Scientific Community",Gain Information for iGEM Project,Met with and learned about members of community labs and hackerspaces   Contact and connect with Community Labs in Europe   Visit by iGEM team Darmstadt in Aachen   Have a general discussion about the potential and perception of the growing number of Community Labs in Germany and Europe   Learn more about the intrinsic motivation of joining a BioHackerSpace and to hear the most prominent concerns that these labs have to face   Attend symposium called Synthetic Biology - Opportunities for interdisciplinary Research from Biology to Engineering and present project to a broad spectrum of scientists   Record several conversations with other speakers as well as guests of the symposium and gather a wide spectrum of opinions 
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Technik Garage,"Conference/Panel Discussion, Consult Experts",iGEM Teams,Discuss Ethics and Safety,"Hosted a community lab and provided them with materials for teaching synthetic biology   Invite ""Technik Garage,"" a German Community Lab, to Aachen   Invite Dr. Jansen from the life sciences network, MedLife, to add the Technik Garage to the Medlife network   Discuss how synthetic biology can be used in Community Labs and provide material for a teaching module about synthetic biology   Learn how the ""Technik Garage"" cares about biosafety "
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Analytica,"Conference/Panel Discussion, Project Presentation",Scientific Community,"Present iGEM Project, Networking",Presented project to biotechnology companies.   Present the project to the biotechnology companies   Win supporters for the iGEM program 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Getting Industrial Perspective,Consult Experts,"Vendors/Businesses, Specialized Audience",Gain Information for iGEM Project,Visited a washing detergent manufacturer and presented their project idea and got feedback.   Visit one of Europe's largest detergent plant Dalli GmbH and Co. KG   Present their project idea and get feedback 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Economical Perspective,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Wrote an economical analysis for their proposed iGEM product.   Create an economical analysis for enzyme created by iGEM with regards to market, competition and distribution.  "
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Political Perspective,Consult Experts,Specialized Audience,"Learn Public Opinion, Discuss Ethics and Safety",Contacted politicians and asked for their opinion about genetic engineering.   Get in contact with many different politicians and ask for their opinion about genetic engineering and the political situation in Germany 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Ethical Perspective,Consult Experts,Professors,Discuss Ethics and Safety,Interviewed professors to learn more about ethical concerns of synthetic biology.   Learn the responsibility of scientists and the importance of integrating ethical considerations 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Spreading the News,Educational Material,General Public,"Educate on iGEM Program, Present iGEM Project, Learn Public Opinion",Wrote a weekly newsletter and flyers about the iGEM project and distributed them to local schools.   Create weekly newsletters and flyers explaining project and iGEM in general  
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Postcard Project ,Educational Material,"iGEM Teams, General Public","Educate on Synthetic Biology, Present iGEM Project, Educate on iGEM Program",Created a postcard that explained their project as a collaboration with Team D_sseldorf.   Participate in designing a postcard that promote understanding of synthetic biology   Distribute the postcard to iGEM local teams and areas around 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Dark Bench,Educational Material,Specialized Audience,Science Education,Created hardware that allows scientists to more easily work with light-sensitive chemicals.   To assist scientist working with light sensitive materials working and thus design a light source controlled space.   Characterize the product's light filtering property   Calculate hardware cost and make a video about hardware assembly 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,LIPs-Stick,Educational Material,"Specialized Audience, Scientific Community",Science Education,Created an irradiating device for liquid samples.   Design a device that can activate the caged light inducible proteins in the liquid detergent   Characterize the light intensity and wavelength the device can detect efficiently  
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Tubefront,Educational Material,"iGEM Teams, Scientific Community",Science Education,"Developed and deployed a mobile sample management application   Developed and deployed a mobile sample management application, which solves the problem of sample identification and tracking without the need for expensive equipment "
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Annual meeting of DECHEMA,Project Presentation,Scientific Community,"Present iGEM Project, Networking",Presented project to a scientific audience at DECHEMA Jahrestagung.   Present the project while having a focus on the future perspective and strategies for the biotechnological industry in Germany 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,NRW Day,"Project Presentation, Community Event",General Public,"Present iGEM Project, Promote Awareness of Synthetic Biology",Presented iGEM project and synthetic biology at an event organized for North-Rhine Westphalia's 70th birthday.   Present the project and talk about the advantages of synthetic biology at the 70th anniversary of the state North-Rhine Westphalia 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Future Lab Gala,"Project Presentation, Community Event",General Public ,"Present iGEM Project, Promote Awareness of Synthetic Biology, Educate on iGEM Program","Presented project and synthetic biology at a local gala.   Present project with scientific experiments   Get in touch with politicians, people from the industry, and different universities "
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Inspiring the Next Generation,"Project Presentation, Open Lab","Primary School Students, Secondary School Students",Present iGEM Project,"Showed the student winners of a European science and technology competition their iGEM lab and presented the iGEM project.   Show winners from ""Jugend forscht,"" a European science and technology competition, the laboratory   Present iGEM project "
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Monschau,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students, Teachers","Present iGEM Project, Educate on Synthetic Biology",Visited a girl's school and taught students about iGEM and synthetic biology.   Talk to teachers to plan how to present to students at the girl's school in Monschau   Visit school to present iGEM project and teach students about synthetic biology 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Aachen,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students, Teachers","Present iGEM Project, Educate on Synthetic Biology",Visited a school to present iGEM project and lead biology experiments.   Present the project according to student's biology knowledge background   Do biology experiments with students   Discuss with teachers synthetic biology in Germany 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Development of LIPs-Stick,Survey,General Public,Gain Information for iGEM Project,Conducted a survey with the general public to gain information for their product design.   Conduct an online survey on correlation of people's biology background and consumer behavior   Use the information to help design their potential product in the best way for consumers 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Book of Experiments,Teaching Activity,"Teachers, iGEM Teams","Educate on Synthetic Biology, Present iGEM Project, Science Education",Created a book of experiments that do not require equipment for teachers to more easily teach biology.   Talk to teachers to determine their needs   Create a collection of accessible experiments that do not require any equipment 
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Writing Competition,"Teaching Activity, Educational Material",General Public,"Educate on Synthetic Biology, Learn Public Opinion",Held a writing competition for participants to deal with synthetic biology creatively and express how they feel about it.   Hold a creative writing competition to encourage people know more synthetic biology knowledge and explore the possibility of it 
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Interviewing people on the streets of Helsinki,Community Event,General Public,Learn Public Opinion,Interview members of the general public about their knowledge of cyanobacteria and learn public opinions.   Find out what people actually knew about synthetic biology and cyanobacteria. 
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Industry,"Community Event, Consult Experts",Vendors/Businesses,Gain Information for iGEM Project,"Attended a workshop on the future of chemical industry to help brainstorm new project ideas   Attend a workshop on the future of chemical industry, organized by the Chemical Industry Federation of Finland, an organization that represents a large portion of Finnish industry, including the biotechnology companies   Brainstorm new ideas for current chemical industry and for the future, then rate by the level of impact and requirements for implementation "
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,iGEM meetups,Conference/Panel Discussion,iGEM Teams ,"Gain Information for iGEM Project, Networking",Attended iGEM meetups and presented iGEM project.   Attend 2 iGEM meetups 1) the Nordic iGEM Conference in Stockholm; 2) the European Experience in Paris.2. practice project presentation skills at Mini Jamboree;  prepare our first poster 
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Combining modeling and experimentation in iGEM,Survey,iGEM Teams,Gain Information for iGEM Project,"Studied the relationship of mathematical modeling and laboratory work in iGEM teams and created a questionnaire for other teams to respond to   To specifically study the relationship of mathematical modeling and laboratory work in iGEM teams and gather information about pitfalls, good practices, and the integration of modeling and laboratory work, create a questionnaire and send it to a number of teams   Analyze the expectations students have for modeling, how the modeling efforts are organized, and how well modeling and experimentation is integrated in iGEM teams   Compare results to compositions of professional synthetic biology research groups to see if there are any differences "
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meet with Companies,Consult Experts,"Vendors/Businesses, Specialized Audience","Present iGEM Project, Networking",Met with companies to present iGEM project and get funding.   Get funding for project;   discuss with biotech company synthetic biology 
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meeting with experts,Consult Experts,"Professors, University Students",Gain Information for iGEM Project,Consulted experts to gain more information on cyanobacteria and mathematical modeling.   Brainstorm project idea   Get specialized knowledge about the biological project and modeling 
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meeting with SYKE,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted experts to learn current detection methods for blue-green algae.    learn what kind of solutions already exist for the blue green algae problems and current detection methods  
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meeting with companies,Consult Experts,Vendors/Businesses,Gain Information for iGEM Project,Met with companies to present iGEM project and get funding.   practice presenting skills when we met with different companies and try to gain their sponsorship.   Discuss the potential commercialization of our project 
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Finnish Environment Institute SYKE,"Consult Experts, Fundraiser",Specialized Audience,Gain Information for iGEM Project,Visited the Finnish Environment Institute to gain information for their iGEM project.   Gain more insight into the problem of cyanobacteria in Finland 
