ID,Team Name,Section,Year,Medal Awarded,Other Award,Wiki Link,Outreach Category,Title,Summarized Description
1,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Integrated Human Practices,"Without the advice of helpful experts, our project would not have taken shape the way it did."
2,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Interview with Leon Bongers and Tania Mattila about melatonin as medication and its approval.,We talked with Leon Bongers and Tania Mattila from the Dutch Medicines Evaluation Board (MEB) about the process of approval for Melatonin in the Netherlands and in the European Union. Leon Bongers is responsible for the approval of melatonin as a medicine in the Netherlands.
3,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,The Interview,"Katrin: Have you heard about the correlation between Melatonin and neurological disorders, like depression, Parkinson's, Alzheimer's disease and fibromyalgia? But I think there is too little data available concerning the effects on giving melatonin to correct the imbalance in this disorders, there haven't been specific claims for melatonin disorders. Leon Bongers: The MEB and most regulatory authorities in Europe only work by paper. After their reply, we do a reassessment and a final decision is taken. Katrin: You told us that the EMA and, for example, the MEB have different medicines that they evaluate, so they don't interfere. But it might happen for example when a member state in Europe considers that a product does more harm than that it is efficacious. Taina Mattila: In principle, there is no specific risk in short-term use. But for example, the long-term risks with children are not completely known, for example for maturation. Basically, the benefits of melatonin have really conclusively in my personal opinion been only shown in jet lag and to some extent to the indication of Circadin at the moment. Katrin: I read that a side effect of taking melatonin is blood in the urine. When the company wanted it to be allowed, they only asked to allow it for the age of 55 years onwards. Can you imagine why they took this limit and not for example and didn't allow it for all adults?"
4,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Interview with a local radio station,"Bringing synthetic biology, iGEM and our project to the public eye is a big part of human practices."
5,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,German Meetup,"After a long period of researching, we finally met most of the German iGEM-teams in June at Marburg. Especially, the sharing of experiences and failures would help us later on in our journey."
6,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,The first steps towards a certain project idea,"In February 2018 we started brainstorming to find a project that could potentially transform people’s lives. The stunning findings in the past decades revealed a strong correlation with numerous diseases, so our biosensor could speed up the diagnosis of multiple diseases."
7,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Getting insights from a medical doctor,"Dr. Groezinger is a senior physician in the psychiatric polyclinic. He explained to us how a melatonin sample is taken: traditionally, saliva samples are used, since there is a linear correlation of melatonin concentration in serum and saliva. Dr. Groezingers point of view, the high cost of an adequate number of melatonin measurements is the reason for the rare usage of this diagnostic method."
8,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,presenting and discussing ideas at the institute for bio and geo sciences,"After weeks of research on the detection of melatonin in the human body, we came up with three possible mechanisms to use in our biosensor. Because of this, it would not be specific enough and evidence that the detected signal came from melatonin would not be given."
9,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Using luciferase under the control of the Estrogen Response Element as reporter,"During our first months of research we noticed a research group in the Aalto University (Helsinki), who developed a yeast-cell based assay for the detection of different analytes, i. e. Estrogen, using different nuclear receptors. We decided, that the system would be suitable for our project, as we also planned to use the specific nuclear receptor RZR (Retinoid-related orphan receptor-beta) for the detection of melatonin."
10,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Status quo of melatonin measurements,"While working on our biological approach using living cells to detect melatonin in saliva samples, the next logical step was to gather the opinion of the people that are ultimately going to perform the measurements - medical laboratories. The most commonly used method for melatonin measurements is Enzyme-Linked Immunosorbent Assay (ELISA). We also were interested in whether these laboratories use living cells for their measurements. Regarding Dr. Josef van Helden, the best solution for a melatonin measurement would be a device that could be placed in the doctor's office."
11,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Talking with the expert in melatonin research,"Dr. Dario Acuña works at the University of Granada in Spain and is the leading scientist in the field of melatonin research. Whereas ELISA works perfectly for melatonin metabolites in urine, it is not as specific in blood or saliva. Dr. Acuña stated that mass spectrometry is the most accurate technique but is yet very expensive compared to ELISA and HPLC. Accordingly, we asked about the best fluid to measure the melatonin level. Furthermore, we learned about the process of measuring the melatonin levels. Usually, Dr. Acuna takes six samples of saliva of one patient and uses five assays of ELISA. Except for mass spectrometry, the current techniques are standard scientific methods but have a lack of sensitivity."
12,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Choosing RZR as a receptor for our hardware device,"After getting the SPR idea from Professor Wiechert we visited Professor Michael Bott in the Juelich Reasearch Center, who leads the systemic microbiology there. Professor Bott suggested using preferably our other melatonin receptor, the transcription factor RZR."
13,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Semiconductor Experts,"In August we started looking for partners to build our gold nanostructure. But this would prohibit using normal commercial litography systems like UV-litography which are state of the art right now. The space inside these machines prohibits placing long fibers in them. During the discussion, we changed our setup from placing the Au nano structure on top of the fiber to placing it on standard glass wafers."
14,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Integrated Human Practices,Suggestions for further improvements,"Taking all the feedback into account, our project does not have to end just yet. We could engineer some improvements to our technique to make it market-ready. In the future, the measurement of those hormones could be integrated in the regular health check to raise awareness of the importance of hormone balance."
15,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen,Education and Public Engagement,Discussing the Science behind Synthetic Biology,"As most people do not know, melatonin plays a significant role in both physical and psychological diseases. Enlighten the public is the most important act in changing the currently existing strict law for melatonin medication in the EU."
16,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,Public Survey,"In order to understand the public’s opinion of our project, we first carried out a marketing research with 1000 pieces of surveys handed out."
17,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,The impact of heavy metal pollution on the general public’s life,"For the survey, including 1067 recycling questionnaires from16 different regions, we have enough sources to reveal how statistically those heavy metal pollutions jeopardize our environment and economics. And thanks to the issue and their concerns, the outlook of our project seams bright."
18,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,Field Trip and Professional Interviews,"From our initial idea to a clear research plan, in order to have a picture on design of our working parts and our prototype to the future applications of our project, the opinions of specialists have been vital in influencing our work."
19,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,Field Trip to Local Urban Sewage Plant,"Four team members including wet team leader Rongjian Tang visited Hangzhou West sewage treatment plant, to learn the modern treating methods of sewage by bacteria."
20,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,Field Trip to Industrial Sewage Plant,"Justin Yan, the dry team leader, visited Baoding Baoyun Plate Making Co. After the process in the system, the waste water could have a copper level lower than 0.15mg/L. Although the process meets the government’s requirement, it takes to much space and the electrical usage is huge."
21,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China,Integrated Human Practices,Interview to Dr Timothy Guanda Lu,"Associate Professor of Electrical Engineering MIT During the time section of experimenting at Zhejiang University, we are lucky enough to listen to the report of Dr. Lu, a professor from MIT who has extensive experience in the field of synthetic biology, about genetic engineering. Based on his useful advice, we have further improved our project plan, including biosafety of placing the engineered bacteria into environment, further improved the parts design to more closer to actual needs, etc."
