Team ID , Team  , Region , Country , Track , Section , Size , Status , Year
2702,Aachen,Europe,Germany,Diagnostics,Overgrad,20,Accepted,2018
2647,Aalto-Helsinki,Europe,Finland,New Application,Overgrad,13,Accepted,2018
2867,Acalanes_CA_Laf,North America,United States,High School,High_school,1,Withdrawn,2018
2815,ACIBADEM_ISTANBUL,Asia,Turkey,Therapeutics,Undergrad,8,Accepted,2018
2534,AFCM-Egypt,Africa,Egypt,Therapeutics,Overgrad,30,Accepted,2018
2547,AHUT_China,Asia,China,Environment,Undergrad,39,Accepted,2018
2718,Aix-Marseille,Europe,France,Therapeutics,Overgrad,30,Accepted,2018
2562,ASIJ_Tokyo,Asia,Japan,High School,High_school,24,Accepted,2018
2826,ASTWS-China,Asia,China,High School,High_school,20,Accepted,2018
2709,Athens,Europe,Greece,Diagnostics,Undergrad,12,Accepted,2018
2642,Auckland_MOD,Asia,New Zealand,Environment,Undergrad,10,Accepted,2018
2877,Austin_LASA,North America,United States,High School,High_school,11,Accepted,2018
2657,Austin_UTexas,North America,United States,Foundational Advance,Undergrad,24,Accepted,2018
2893,Baltimore_BioCrew,North America,United States,High School,High_school,21,Accepted,2018
2864,Bay_Area_CA,North America,Unspecified,High School,High_school,1,Withdrawn,2018
2894,Bay_Area_Genomics_CA,North America,United States,,Unspecified,1,Withdrawn,2018
2567,BCU,Asia,China,Environment,Undergrad,18,Accepted,2018
2555,BFSUICC-China,Asia,China,High School,High_school,10,Accepted,2018
2728,BGIC-Global,Asia,China,High School,High_school,17,Accepted,2018
2538,BGU_Israel,Europe,Israel,Therapeutics,Overgrad,14,Accepted,2018
2638,Bielefeld-CeBiTec,Europe,Germany,Environment,Overgrad,17,Accepted,2018
2759,Bilkent-UNAMBG,Europe,Turkey,Environment,Undergrad,15,Accepted,2018
2879,BioIQS-Barcelona,Europe,Spain,Diagnostics,Overgrad,15,Accepted,2018
2885,BioMarvel,Asia,"Korea, Republic Of",High School,High_school,17,Accepted,2018
2860,Bio_Without_Borders,North America,United States,Diagnostics,Overgrad,13,Accepted,2018
2708,BIT,Asia,China,Diagnostics,Undergrad,32,Accepted,2018
2765,BIT-China,Asia,China,New Application,Undergrad,28,Accepted,2018
2833,BJRS_China,Asia,China,High School,High_school,11,Accepted,2018
2548,BNDS_CHINA,Asia,China,High School,High_school,20,Accepted,2018
2717,BNU-China,Asia,China,Foundational Advance,Undergrad,37,Accepted,2018
2670,BOKU-Vienna,Europe,Austria,Information Processing,Overgrad,16,Accepted,2018
2636,Bordeaux,Europe,France,Environment,Overgrad,19,Accepted,2018
2805,BostonU,North America,United States,Foundational Advance,Undergrad,6,Accepted,2018
2661,BostonU_HW,North America,United States,Open,Undergrad,7,Accepted,2018
2786,Botchan_Lab_Tokyo,Asia,Japan,Food & Nutrition,Undergrad,20,Accepted,2018
2700,British_Columbia,North America,Canada,Manufacturing,Undergrad,17,Accepted,2018
2811,BrockU,North America,Canada,New Application,Overgrad,12,Accepted,2018
2782,BUCT-China,Asia,China,Environment,Undergrad,6,Accepted,2018
2847,Bulgaria,Europe,Bulgaria,Diagnostics,Undergrad,6,Accepted,2018
2605,Calgary,North America,Canada,Foundational Advance,Undergrad,14,Accepted,2018
2810,Cardiff_Wales,Europe,United Kingdom,Environment,Undergrad,11,Accepted,2018
2566,CCA-San_Diego,North America,United States,High School,High_school,7,Accepted,2018
2809,CCU_Taiwan,Asia,Taiwan,New Application,Undergrad,33,Accepted,2018
2726,CDHSU-CHINA,Asia,China,High School,High_school,10,Accepted,2018
2625,Chalmers-Gothenburg,Europe,Sweden,Therapeutics,Overgrad,12,Accepted,2018
2631,CIEI-BJ,Asia,China,High School,High_school,21,Accepted,2018
2892,Claremont,North America,United States,Environment,Undergrad,6,Accepted,2018
2872,CMUQ,Asia,Qatar,Diagnostics,Undergrad,14,Accepted,2018
2758,ColegioFDR_Peru,Latin America,Peru,High School,High_school,18,Accepted,2018
2846,ColumbiaNYC,North America,United States,Diagnostics,Undergrad,12,Accepted,2018
2561,Cornell,North America,United States,Foundational Advance,Undergrad,31,Accepted,2018
2880,CO_Mines,North America,United States,Environment,Undergrad,15,Accepted,2018
2624,CPU_CHINA,Asia,China,New Application,Undergrad,19,Accepted,2018
2580,CSU_CHINA,Asia,China,Therapeutics,Undergrad,18,Accepted,2018
2727,CSU_Fort_Collins,North America,United States,Therapeutics,Overgrad,15,Accepted,2018
2674,CU-Boulder,North America,United States,Therapeutics,Undergrad,8,Accepted,2018
2648,CUNY_Kingsborough,North America,United States,Open,Overgrad,16,Accepted,2018
2803,Dalhousie_Halifax_NS,North America,Canada,Environment,Undergrad,21,Accepted,2018
2698,Delgado-Ivy-Marin,North America,United States,Therapeutics,Overgrad,10,Withdrawn,2018
2752,DLUT_China,Asia,China,Therapeutics,Undergrad,21,Accepted,2018
2772,DLUT_China_B,Asia,China,New Application,Undergrad,20,Accepted,2018
2630,DNHS_SanDiego,North America,United States,High School,High_school,8,Accepted,2018
2799,DTU-Denmark,Europe,Denmark,Manufacturing,Overgrad,19,Accepted,2018
2587,Duesseldorf,Europe,Germany,Foundational Advance,Overgrad,20,Accepted,2018
2837,Duke,North America,United States,Manufacturing,Undergrad,10,Accepted,2018
2843,East_Chapel_Hill,North America,United States,High School,High_school,16,Accepted,2018
2804,Ecuador,Latin America,Ecuador,Therapeutics,Undergrad,15,Accepted,2018
2737,ECUST,Asia,China,Environment,Undergrad,19,Accepted,2018
2739,Edinburgh_OG,Europe,United Kingdom,Manufacturing,Overgrad,17,Accepted,2018
2725,Edinburgh_UG,Europe,United Kingdom,Foundational Advance,Undergrad,18,Accepted,2018
2679,Emory,North America,United States,Food & Nutrition,Overgrad,16,Accepted,2018
2686,EPFL,Europe,Switzerland,Therapeutics,Overgrad,18,Accepted,2018
2845,ETH_Zurich,Europe,Switzerland,New Application,Overgrad,13,Accepted,2018
2675,Evry_Paris-Saclay,Europe,France,Foundational Advance,Overgrad,21,Accepted,2018
2695,Exeter,Europe,United Kingdom,Environment,Undergrad,19,Accepted,2018
2820,FAFU-CHINA,Asia,China,,Unspecified,1,Withdrawn,2018
2641,FAU_Erlangen,Europe,Germany,Foundational Advance,Overgrad,23,Accepted,2018
2570,FJNU-China,Asia,China,Environment,Undergrad,15,Accepted,2018
2832,FSU,North America,United States,Foundational Advance,Undergrad,19,Accepted,2018
2549,Fudan,Asia,China,Foundational Advance,Undergrad,11,Accepted,2018
2886,Fudan-CHINA,Asia,China,Therapeutics,Undergrad,15,Accepted,2018
2882,Galilee_Culture,Asia,Israel,High School,High_school,1,Withdrawn,2018
2536,Gaston_Day_School,North America,United States,Environment,Undergrad,14,Accepted,2018
2585,GDSYZX,Asia,China,High School,High_school,24,Accepted,2018
2640,Georgia_State,North America,United States,Diagnostics,Overgrad,21,Accepted,2018
2776,GiFFM-Germany,Europe,Unspecified,,Unspecified,1,Withdrawn,2018
2798,Gifu,Asia,Japan,Foundational Advance,Undergrad,20,Accepted,2018
2586,Goettingen,Europe,Germany,Environment,Overgrad,11,Accepted,2018
2688,GO_Paris-Saclay,Europe,France,Environment,Overgrad,20,Accepted,2018
2753,GreatBay_China,Asia,China,High School,High_school,19,Accepted,2018
2629,Grenoble-Alpes,Europe,France,Diagnostics,Undergrad,16,Accepted,2018
2783,Groningen,Europe,Netherlands,Manufacturing,Overgrad,16,Accepted,2018
2840,GZHS-United,Asia,China,High School,High_school,18,Accepted,2018
2856,H14Z1_Hangzhou,Asia,China,High School,High_school,15,Accepted,2018
2859,HAFS,Asia,"Korea, Republic Of",High School,High_school,13,Accepted,2018
2588,Hamburg,Europe,Germany,Environment,Overgrad,21,Accepted,2018
2899,Hamline_Genetics,North America,United States,,Team not yet accepted,1,Pending,2018
2895,Harvard,North America,United States,New Application,Undergrad,9,Accepted,2018
2574,Hawaii,North America,United States,New Application,Overgrad,10,Accepted,2018
2652,HBUT-China,Asia,China,Environment,Undergrad,22,Accepted,2018
2667,HebrewU,Asia,Israel,Environment,Overgrad,13,Accepted,2018
2890,HFLS_ZhejiangUnited,Asia,China,High School,High_school,24,Accepted,2018
2746,HKBUER,Asia,China,,Unspecified,1,Withdrawn,2018
2720,HKJS_S,Asia,Hong Kong,High School,High_school,24,Accepted,2018
2618,HK_HCY_LFC,Asia,Hong Kong,High School,High_school,45,Accepted,2018
2582,Hong_Kong-CUHK,Asia,Hong Kong,Diagnostics,Overgrad,17,Accepted,2018
2592,Hong_Kong_HKU,Asia,Hong Kong,Foundational Advance,Undergrad,20,Accepted,2018
2764,Hong_Kong_HKUST,Asia,Hong Kong,Environment,Undergrad,23,Accepted,2018
2578,Hong_Kong_JSS,Asia,Hong Kong,High School,High_school,47,Accepted,2018
2639,HSHL,Europe,Germany,Food & Nutrition,Overgrad,21,Accepted,2018
2800,HUBU-Wuhan,Asia,China,Energy,Undergrad,14,Accepted,2018
2533,HUST-China,Asia,China,Energy,Undergrad,33,Accepted,2018
2632,HZAU-China,Asia,China,Therapeutics,Undergrad,25,Accepted,2018
2855,HZNFHS_China,Asia,China,High School,High_school,11,Withdrawn,2018
2802,ICT-Mumbai,Asia,India,Environment,Undergrad,8,Accepted,2018
2609,IISc-Bangalore,Asia,India,Therapeutics,Undergrad,23,Accepted,2018
2790,IISER-Bhopal-India,Asia,India,Environment,Undergrad,15,Accepted,2018
2773,IISER-Kolkata,Asia,India,Therapeutics,Undergrad,14,Accepted,2018
2743,IISER-Mohali,Asia,India,Food & Nutrition,Undergrad,12,Accepted,2018
2857,IIT-Madras,Asia,India,Foundational Advance,Undergrad,22,Accepted,2018
2814,IIT_Delhi,Asia,India,Foundational Advance,Overgrad,15,Accepted,2018
2874,IIT_Kanpur,Asia,India,Environment,Undergrad,11,Accepted,2018
2862,Imperial_College,Europe,United Kingdom,Foundational Advance,Undergrad,15,Accepted,2018
2849,Istanbul_Tech,Europe,Turkey,,Unspecified,1,Withdrawn,2018
2563,iTesla-SoundBio,North America,United States,High School,High_school,28,Accepted,2018
2568,Jiangnan,Asia,China,Manufacturing,Undergrad,25,Accepted,2018
2606,Jiangnan_China,Asia,China,Manufacturing,Undergrad,24,Accepted,2018
2541,Jilin_China,Asia,China,Foundational Advance,Undergrad,25,Accepted,2018
2614,JMU_Wuerzburg,Europe,Germany,Diagnostics,Undergrad,16,Accepted,2018
2608,JNFLS,Asia,China,High School,High_school,26,Accepted,2018
2821,KAIT_JAPAN,Asia,Japan,Information Processing,Undergrad,23,Accepted,2018
2595,KCL_UK,Europe,United Kingdom,Foundational Advance,Overgrad,17,Accepted,2018
2861,KLSC,Asia,Unspecified,High School,High_school,1,Withdrawn,2018
2564,KUAS_Korea,Asia,"Korea, Republic Of",New Application,Undergrad,11,Accepted,2018
2665,Kyoto,Asia,Japan,Foundational Advance,Undergrad,10,Accepted,2018
2701,LACAS_BioBots,Asia,Pakistan,High School,High_school,10,Accepted,2018
2550,Lambert_GA,North America,United States,High School,High_school,22,Accepted,2018
2610,Leiden,Europe,Netherlands,Therapeutics,Overgrad,17,Accepted,2018
2683,Lethbridge,North America,Canada,Foundational Advance,Overgrad,18,Accepted,2018
2692,Lethbridge_HS,North America,Canada,High School,High_school,22,Accepted,2018
2671,Linkoping_Sweden,Europe,Sweden,Manufacturing,Overgrad,15,Accepted,2018
2697,Lubbock_TTU,North America,United States,Manufacturing,Overgrad,9,Accepted,2018
2602,Lund,Europe,Sweden,Manufacturing,Overgrad,12,Accepted,2018
2796,LZU-CHINA,Asia,China,Therapeutics,Undergrad,32,Accepted,2018
2664,Macquarie_Australia,Asia,Australia,New Application,Undergrad,20,Accepted,2018
2792,Madrid-OLM,Europe,Spain,Open,Undergrad,10,Accepted,2018
2714,Makerere_University,Africa,Uganda,Environment,Undergrad,20,Accepted,2018
2613,Manchester,Europe,United Kingdom,Food & Nutrition,Undergrad,11,Accepted,2018
2560,Marburg,Europe,Germany,Foundational Advance,Overgrad,29,Accepted,2018
2767,McGill,North America,Canada,Foundational Advance,Undergrad,10,Accepted,2018
2658,McMaster,North America,Canada,New Application,Undergrad,32,Accepted,2018
2691,McMasterA,North America,Canada,Foundational Advance,Undergrad,7,Withdrawn,2018
2681,Melbourne,Asia,Australia,Therapeutics,Undergrad,11,Accepted,2018
2887,METU,Europe,Turkey,,Unspecified,1,Withdrawn,2018
2571,METU_HS_Ankara,Europe,Turkey,High School,High_school,8,Accepted,2018
2813,Michigan,North America,United States,Foundational Advance,Undergrad,18,Accepted,2018
2633,MichiganState,North America,United States,Food & Nutrition,Undergrad,12,Accepted,2018
2829,Michigan_Software,North America,United States,Software,Undergrad,8,Withdrawn,2018
2543,Mingdao,Asia,Taiwan,High School,High_school,26,Accepted,2018
2873,Minnesota,North America,United States,Environment,Undergrad,9,Accepted,2018
2678,Missouri_Rolla,North America,United States,Environment,Undergrad,15,Accepted,2018
2649,MIT,North America,United States,Therapeutics,Overgrad,13,Accepted,2018
