School,Section,Year,Wiki hyperlink,Award,Outreach Category,Outreach Project,Project Tag,Audience,Goal,Description
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Contribution to METU HS Ankara Lab Protocols Collection,Community Event,iGEM Teams,Educate on iGEM Program,Translated iGEM protocols into German in collaboration with iGEM METU HS Ankara.
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Maker Faire,"Project Presentation, Community Event","iGEM Teams, Secondary School Students, Teachers","Educate on Synthetic Biology, Present iGEM Project",Participated in a MakerFaire to promote their DIY bioreactor
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Düsseldorf,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students","Present iGEM Project, Educate on Synthetic Biology","Organized a Biotech Day for two schools to teach about iGEM, synthetic biology, and safety."
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Community Labs,"Conference/Panel Discussion, Consult Experts","iGEM Teams, Vendors/Businesses, Scientific Community",Gain Information for iGEM Project,Met with and learned about members of community labs and hackerspaces
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Technik Garage,"Conference/Panel Discussion, Consult Experts",iGEM Teams,Discuss Ethics and Safety,Hosted a community lab and provided them with materials for teaching synthetic biology
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Analytica,"Conference/Panel Discussion, Project Presentation",Scientific Community,"Present iGEM Project, Networking",Presented project to biotechnology companies.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Getting Industrial Perspective,Consult Experts,"Vendors/Businesses, Specialized Audience",Gain Information for iGEM Project,Visited a washing detergent manufacturer and presented their project idea and got feedback.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Economical Perspective,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Wrote an economical analysis for their proposed iGEM product.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Political Perspective,Consult Experts,Specialized Audience,"Learn Public Opinion, Discuss Ethics and Safety",Contacted politicians and asked for their opinion about genetic engineering.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Ethical Perspective,Consult Experts,Professors,Discuss Ethics and Safety,Interviewed professors to learn more about ethical concerns of synthetic biology.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Spreading the News,Educational Material,General Public,"Educate on iGEM Program, Present iGEM Project, Learn Public Opinion",Wrote a weekly newsletter and flyers about the iGEM project and distributed them to local schools.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Postcard Project ,Educational Material,"iGEM Teams, General Public","Educate on Synthetic Biology, Present iGEM Project, Educate on iGEM Program",Created a postcard that explained their project as a collaboration with Team Düsseldorf.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Dark Bench,Educational Material,Specialized Audience,Science Education,Created hardware that allows scientists to more easily work with light-sensitive chemicals.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,LIPs-Stick,Educational Material,"Specialized Audience, Scientific Community",Science Education,Created an irradiating device for liquid samples.
Aachen,Overgraduate,2015,http://2015.igem.org/Team:Aachen,,Integrated Human Practices,Tubefront,Educational Material,"iGEM Teams, Scientific Community",Science Education,Developed and deployed a mobile sample management application
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Annual meeting of DECHEMA,Project Presentation,Scientific Community,"Present iGEM Project, Networking",Presented project to a scientific audience at DECHEMA Jahrestagung.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,NRW Day,"Project Presentation, Community Event",General Public,"Present iGEM Project, Promote Awareness of Synthetic Biology",Presented iGEM project and synthetic biology at an event organized for North-Rhine Westphalia's 70th birthday.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Future Lab Gala,"Project Presentation, Community Event",General Public ,"Present iGEM Project, Promote Awareness of Synthetic Biology, Educate on iGEM Program",Presented project and synthetic biology at a local gala.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Inspiring the Next Generation,"Project Presentation, Open Lab","Primary School Students, Secondary School Students",Present iGEM Project,Showed the student winners of a European science and technology competition their iGEM lab and presented the iGEM project.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Monschau,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students, Teachers","Present iGEM Project, Educate on Synthetic Biology",Visited a girl's school and taught students about iGEM and synthetic biology.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Aachen,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students, Teachers","Present iGEM Project, Educate on Synthetic Biology",Visited a school to present iGEM project and lead biology experiments.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Integrated Human Practices,Development of LIPs-Stick,Survey,General Public,Gain Information for iGEM Project,Conducted a survey with the general public to gain information for their product design.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Book of Experiments,Teaching Activity,"Teachers, iGEM Teams","Educate on Synthetic Biology, Present iGEM Project, Science Education",Created a book of experiments that do not require equipment for teachers to more easily teach biology.
Aachen,Overgraduate,2016,http://2016.igem.org/Team:Aachen,,Education and Public Engagement,Writing Competition,"Teaching Activity, Educational Material",General Public,"Educate on Synthetic Biology, Learn Public Opinion",Held a writing competition for participants to deal with synthetic biology creatively and express how they feel about it.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Interviewing people on the streets of Helsinki,Community Event,General Public,Learn Public Opinion,Interview members of the general public about their knowledge of cyanobacteria and learn public opinions.
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Industry,"Community Event, Consult Experts",Vendors/Businesses,Gain Information for iGEM Project,Attended a workshop on the future of chemical industry to help brainstorm new project ideas
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,iGEM meetups,Conference/Panel Discussion,iGEM Teams ,"Gain Information for iGEM Project, Networking",Attended iGEM meetups and presented iGEM project.
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Combining modeling and experimentation in iGEM,Survey,iGEM Teams,Gain Information for iGEM Project,Studied the relationship of mathematical modeling and laboratory work in iGEM teams and created a questionnaire for other teams to respond to
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meet with Companies,Consult Experts,"Vendors/Businesses, Specialized Audience","Present iGEM Project, Networking",Met with companies to present iGEM project and get funding.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meeting with experts,Consult Experts,"Professors, University Students",Gain Information for iGEM Project,Consulted experts to gain more information on cyanobacteria and mathematical modeling.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meeting with SYKE,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted experts to learn current detection methods for blue-green algae.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Meeting with companies,Consult Experts,Vendors/Businesses,Gain Information for iGEM Project,Met with companies to present iGEM project and get funding.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Finnish Environment Institute SYKE,"Consult Experts, Fundraiser",Specialized Audience,Gain Information for iGEM Project,Visited the Finnish Environment Institute to gain information for their iGEM project.
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Universities,"Consult Experts, Project Presentation","Scientific Community, Professors","Present iGEM Project, Gain Information for iGEM Project",Contacted biotechnology researchers and presented project to students and faculty members
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,General Public,Fair Booth,"General Public, Primary School Students","Promote Awareness of Synthetic Biology, Present iGEM Project",Helped organize a science picnic mainly oriented towards families
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,LUMA centre,Project Presentation,Secondary School Students,"Present iGEM Project, Educate on Synthetic Biology",Met with high school students on Finnish team of the International Biology Olympiad and talked to them about iGEM.
Aalto-Helsinki,Undergraduate,2015,http://2015.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,High Schools,"Project Presentation, Teaching Activity","Secondary School Students, Teachers","Promote Awareness of Synthetic Biology, Present iGEM Project, Educate on iGEM Program","Gave a presentation to high schoolers about synthetic biology, iGEM, and the project"
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Media,Social Media,"University Students, Vendors/Businesses","Promote Awareness of Synthetic Biology, Present iGEM Project",Introduced iGEM project on multiple media platforms.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Education and Public Engagement,Website and Blog,Social Media,General Public,Present iGEM Project,Created a blog to give weekly updates on the state of the project.
Aalto-Helsinki,Overgraduate,2016,http://2016.igem.org/Team:Aalto-Helsinki,,Integrated Human Practices,Math seminar at the University of Helsinki,"Teaching Activity, Project Presentation",University Students,"Present iGEM Project, Promote Awareness of Synthetic Biology",Gave a talk on mathematical modelling in synthetic biology for math students at the University of Helsinki.
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Education and Public Engagement,Biotechnologies Forum,"Project Presentation, Conference/Panel Discussion",University Students,Promote Awareness of Synthetic Biology,Presented a poster and gave an hour long presentation about iGEM project at a biotechnology forum for students
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Integrated Human Practices,Metals Importance Throughout History,Consult Experts,Scientific Community,Gain Information for iGEM Project,Interviewed a history Ph.D. student to learn more about the historical background of their project and its importance.
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Integrated Human Practices,Platinum in Mines,Consult Experts,"Professors, University Students, iGEM Teams","Present iGEM Project, Gain Information for iGEM Project",Collaborated with iGEM Pretoria to interview experts in platinum mining production in the area.
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Integrated Human Practices,Platinum in the Environment,Consult Experts,Scientific Community,Gain Information for iGEM Project,Consulted with an ecologist engineer to gain information for iGEM project.
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Education and Public Engagement,Roverway,"Teaching Activity, Community Event",Scientific Community,"Promote Awareness of Synthetic Biology, Educate on Synthetic Biology",Led teaching activities with students about biology techniques and methods.
Aix-Marseille,Overgraduate,2016,http://2016.igem.org/Team:Aix-Marseille,,Education and Public Engagement,Fête de la Science,"Teaching Activity, Community Event",Primary School Students,Promote Awareness of Synthetic Biology,"Held a booth at Fête de la Science, a local science festival, and presented synthetic biology and iGEM project."
Amsterdam,Overgraduate,2015,http://2015.igem.org/Team:Amsterdam,,Integrated Human Practices,RIVM Symposium,"Conference/Panel Discussion, Project Presentation","Legislators, iGEM Teams","Gain Information for iGEM Project, Policy Outreach",Attended a meeting on the role of synthetic biology in a sustainable bio-economy and present their project idea; received feedback and ideas for their iGEM project
Amsterdam,Overgraduate,2015,http://2015.igem.org/Team:Amsterdam,,Integrated Human Practices,Techno-Moral Vignette,Educational Material,"Scientific Community, General Public","Discuss Ethics and Safety, Educate on Synthetic Biology",Created techno-moral vignettes demonstrating the potential impact their iGEM project would have on society
Amsterdam,Overgraduate,2015,http://2015.igem.org/Team:Amsterdam,,Integrated Human Practices,Application Scenarios,"Educational Material, Consult Experts","Scientific Community, iGEM Teams","Discuss Ethics and Safety, Educate on Synthetic Biology","Developed several application scenarios for ways their iGEM project would impact society, and interview experts in sustainable bioproduction about the usability of their product"
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,Literature Research and Consulting with Experts,Consult Experts,Scientific Community,"Discuss Ethics and Safety, Gain Information for iGEM Project","Consulted experts to determine which species of bacteria could cause AHL cross talk in the real world, and to determine how to dispose of AHLs safely"
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,AHL Safe Disposal Plan,Educational Material,Scientific Community,Discuss Ethics and Safety,Developed a safe disposal protocol for AHLs 
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,Safety Section on Parts Pages,Educational Material,Scientific Community,Discuss Ethics and Safety,Updated AHL parts pages with proper disposal protocols and crosstalk partner information
Arizona State,Overgraduate,2016,http://2016.igem.org/Team:Arizona_State,Nominated for Best Integrated Human Practices,Integrated Human Practices,White Paper,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,Created a white paper with a background on the threats and safety concerns of AHLs
AUC_TURKEY,High School,2015,http://2015.igem.org/Team:AUC_TURKEY,,Integrated Human Practices,Head of the Department of Biotechnology of Hacettepe University,Consult Experts,Professors,Gain Information for iGEM Project,Discussed the application of the project with the Head of the Department of Biotechnology of Hacettepe University
AUC_TURKEY,High School,2015,http://2015.igem.org/Team:AUC_TURKEY,,Integrated Human Practices,Chemical Companies,Consult Experts,"Scientific Community, Vendors/Businesses","Gain Information for iGEM Project, Discuss Ethics and Safety",Arranged a meeting with chemical companies and interviewed specialists to discuss topics of biotechnology
AUC_TURKEY,High School,2015,http://2015.igem.org/Team:AUC_TURKEY,,Integrated Human Practices,Expert of Entomology,Consult Experts,Scientific Community,Gain Information for iGEM Project,Met with an expert of entomology to explain the fuse mechanism of the Bombardier Beetle's catalase
Austin_UTexas,Undergraduate,2016,http://2016.igem.org/Team:Austin%20UTexas,,Integrated Human Practices,Gain info about kombucha,Consult Experts,"General Public, Scientific Community",Gain Information for iGEM Project,Met with the owner of a kombucha company to discuss and gain insights for iGEM project.
Austin_UTexas,Undergraduate,2015,http://2015.igem.org/Team:Austin_UTexas,,Integrated Human Practices,South By South West,"Fair Booth, Community Event","Scientific Community, General Public","Promote Awareness of Synthetic Biology, Educate on Synthetic Biology","Presented at Austin's premier festival, South by South West Create"
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,The Great Debate,Conference/Panel Discussion,"University Students, Scientific Community",Discuss Ethics and Safety,"Had the ethics of the project's science contested in a verbal boxing ring by organizing ""The Great Debate"" in collaboration with the team's school society,, Babsoc"
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Australian iGEM Meetup,"Conference/Panel Discussion, Project Presentation",iGEM Teams,"Present iGEM Project, Gain Information for iGEM Project",Hosted meetup for 2015 Australian iGEM teams to meet and share work with other teams
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Encounters of the IP Kind,Consult Experts,Vendors/Businesses,Gain Information for iGEM Project,Consulted with the university business development team and an intellectual property lawyer to learn the actions necessary to secure a patent
BABS_UNSW_Australia,Undergraduate,2015,http://2015.igem.org/Team:BABS_UNSW_Australia,,Integrated Human Practices,Biosafety Report,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,Compiled a report to discuss ethics and safety themes in synthetic biology
