,School,Section,Year,Outreach Category,Wiki Hyperlink,Project Tag,Audience,Goal,Objectives,Description
0,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Community Event,iGEM Teams,Science Education,<ul><li> Contribution to METU HS Ankara Lab Protocols Collection by translating iGEM protocol into German</ul>,Translated iGEM protocols into German in collaboration with iGEM METU HS Ankara.
1,Aachen,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Aachen,"Project Presentation, Community Event","iGEM Teams, Secondary School Students, Teachers","Educate on Synthetic Biology, Present iGEM Project","<ul><li> Attend the MakerFaire in Hannover to demonstrate the first prototype of self-made, small-scale bioreactor</li><li> Initiate collaboration with the iGEM Team Bielefeld and gain valuable ideas concerning use of pumps in microfluidics</li><li> Have discussions and give explanations to not only teach others about DIY biology, but also learn about the principles of openly shared knowledge and the opportunities this generates</li><li> Present and demonstrate bioreactor to children and teachers</ul>",Participated in a MakerFaire to promote their DIY bioreactor
2,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students","Present iGEM Project, Educate on Synthetic Biology","<ul><li> Organize a ""Biotech Day"" and present the project to a large group of students</li><li> Address safety issues in ethics of synthetic biology</li><li> Answer their questions about synbio and the project </ul>","Organized a Biotech Day for two schools to teach about iGEM, synthetic biology, and safety."
3,Aachen,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Aachen,"Conference/Panel Discussion, Consult Experts","iGEM Teams, Vendors/Businesses, Scientific Community",Gain Information for iGEM Project,<ul><li> Contact and connect with Community Labs in Europe</li><li> Visit by iGEM team Darmstadt in Aachen</li><li> Have a general discussion about the potential and perception of the growing number of Community Labs in Germany and Europe</li><li> Learn more about the intrinsic motivation of joining a BioHackerSpace and to hear the most prominent concerns that these labs have to face</li><li> Attend symposium called Synthetic Biology - Opportunities for interdisciplinary Research from Biology to Engineering and present project to a broad spectrum of scientists</li><li> Record several conversations with other speakers as well as guests of the symposium and gather a wide spectrum of opinions</ul>,Met with and learned about members of community labs and hackerspaces
4,Aachen,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Aachen,"Conference/Panel Discussion, Consult Experts",iGEM Teams,Discuss Ethics and Safety,"<ul><li> Invite ""Technik Garage,"" a German Community Lab, to Aachen</li><li> Invite Dr. Jansen from the life sciences network, MedLife, to add the Technik Garage to the Medlife network</li><li> Discuss how synthetic biology can be used in Community Labs and provide material for a teaching module about synthetic biology</li><li> Learn how the ""Technik Garage"" cares about biosafety</ul>",Hosted a community lab and provided them with materials for teaching synthetic biology
5,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Conference/Panel Discussion, Project Presentation",Scientific Community,"Present iGEM Project, Networking",<ul><li> Present the project to the biotechnology companies</li><li> Win supporters for the iGEM program</ul>,Presented project to biotechnology companies.
6,Aachen,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aachen,Consult Experts,"Vendors/Businesses, Specialized Audience",Gain Information for iGEM Project,<ul><li> Visit one of Europe's largest detergent plant Dalli GmbH and Co. KG</li><li> Present their project idea and get feedback</ul>,Visited a washing detergent manufacturer and presented their project idea and got feedback.
7,Aachen,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aachen,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"<ul><li> Create an economical analysis for enzyme created by iGEM with regards to market, competition and distribution. </ul>",Wrote an economical analysis for their proposed iGEM product.
8,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Consult Experts,Specialized Audience,"Learn Public Opinion, Discuss Ethics and Safety",<ul><li> Get in contact with many different politicians and ask for their opinion about genetic engineering and the political situation in Germany</ul>,Contacted politicians and asked for their opinion about genetic engineering.
9,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Consult Experts,Professors,Discuss Ethics and Safety,<ul><li> Learn the responsibility of scientists and the importance of integrating ethical considerations</ul>,Interviewed professors to learn more about ethical concerns of synthetic biology.
10,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Educational Material,General Public,"Educate on iGEM Program, Present iGEM Project, Learn Public Opinion",<ul><li> Create weekly newsletters and flyers explaining project and iGEM in general </ul>,Wrote a weekly newsletter and flyers about the iGEM project and distributed them to local schools.
11,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Educational Material,"iGEM Teams, General Public","Educate on Synthetic Biology, Present iGEM Project, Educate on iGEM Program",<ul><li> Participate in designing a postcard that promote understanding of synthetic biology</li><li> Distribute the postcard to iGEM local teams and areas around</ul>,Created a postcard that explained their project as a collaboration with Team D眉sseldorf.
12,Aachen,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aachen,Educational Material,Specialized Audience,Science Education,<ul><li> To assist scientist working with light sensitive materials working and thus design a light source controlled space.</li><li> Characterize the product's light filtering property</li><li> Calculate hardware cost and make a video about hardware assembly</ul>,Created hardware that allows scientists to more easily work with light-sensitive chemicals.
13,Aachen,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aachen,Educational Material,"Specialized Audience, Scientific Community",Science Education,<ul><li> Design a device that can activate the caged light inducible proteins in the liquid detergent</li><li> Characterize the light intensity and wavelength the device can detect efficiently </ul>,Created an irradiating device for liquid samples.
14,Aachen,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Aachen,Educational Material,"iGEM Teams, Scientific Community",Science Education,"<ul><li> Developed and deployed a mobile sample management application, which solves the problem of sample identification and tracking without the need for expensive equipment</ul>",Developed and deployed a mobile sample management application
15,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Project Presentation,Scientific Community,"Present iGEM Project, Networking",<ul><li> Present the project while having a focus on the future perspective and strategies for the biotechnological industry in Germany</ul>,Presented project to a scientific audience at DECHEMA Jahrestagung.
16,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Project Presentation, Community Event",General Public,"Present iGEM Project, Promote Awareness of Synthetic Biology",<ul><li> Present the project and talk about the advantages of synthetic biology at the 70th anniversary of the state North-Rhine Westphalia</ul>,Presented iGEM project and synthetic biology at an event organized for North-Rhine Westphalia's 70th birthday.
17,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Project Presentation, Community Event",General Public ,"Present iGEM Project, Promote Awareness of Synthetic Biology, Educate on iGEM Program","<ul><li> Present project with scientific experiments</li><li> Get in touch with politicians, people from the industry, and different universities</ul>",Presented project and synthetic biology at a local gala.
18,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Project Presentation, Open Lab","Primary School Students, Secondary School Students",Present iGEM Project,"<ul><li> Show winners from ""Jugend forscht,"" a European science and technology competition, the laboratory</li><li> Present iGEM project</ul>",Showed the student winners of a European science and technology competition their iGEM lab and presented the iGEM project.
19,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students, Teachers","Present iGEM Project, Educate on Synthetic Biology",<ul><li> Talk to teachers to plan how to present to students at the girl's school in Monschau</li><li> Visit school to present iGEM project and teach students about synthetic biology</ul>,Visited a girl's school and taught students about iGEM and synthetic biology.
20,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Project Presentation, Teaching Activity","Primary School Students, Secondary School Students, Teachers","Present iGEM Project, Educate on Synthetic Biology",<ul><li> Present the project according to student's biology knowledge background</li><li> Do biology experiments with students</li><li> Discuss with teachers synthetic biology in Germany</ul>,Visited a school to present iGEM project and lead biology experiments.
21,Aachen,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aachen,Survey,General Public,Gain Information for iGEM Project,<ul><li> Conduct an online survey on correlation of people's biology background and consumer behavior</li><li> Use the information to help design their potential product in the best way for consumers</ul>,Conducted a survey with the general public to gain information for their product design.
22,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,Teaching Activity,"Teachers, iGEM Teams","Educate on Synthetic Biology, Present iGEM Project, Science Education",<ul><li> Talk to teachers to determine their needs</li><li> Create a collection of accessible experiments that do not require any equipment</ul>,Created a book of experiments that do not require equipment for teachers to more easily teach biology.
23,Aachen,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aachen,"Teaching Activity, Educational Material",General Public,"Educate on Synthetic Biology, Learn Public Opinion",<ul><li> Hold a creative writing competition to encourage people know more synthetic biology knowledge and explore the possibility of it</ul>,Held a writing competition for participants to deal with synthetic biology creatively and express how they feel about it.
24,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,Community Event,General Public,Learn Public Opinion,<ul><li> Find out what people actually knew about synthetic biology and cyanobacteria.</ul>,Interview members of the general public about their knowledge of cyanobacteria and learn public opinions.
25,Aalto-Helsinki,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Aalto-Helsinki,"Community Event, Consult Experts",Vendors/Businesses,Gain Information for iGEM Project,"<ul><li> Attend a workshop on the future of chemical industry, organized by the Chemical Industry Federation of Finland, an organization that represents a large portion of Finnish industry, including the biotechnology companies</li><li> Brainstorm new ideas for current chemical industry and for the future, then rate by the level of impact and requirements for implementation</ul>",Attended a workshop on the future of chemical industry to help brainstorm new project ideas
26,Aalto-Helsinki,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aalto-Helsinki,Conference/Panel Discussion,iGEM Teams ,"Gain Information for iGEM Project, Networking",<ul><li> Attend 2 iGEM meetups 1) the Nordic iGEM Conference in Stockholm; 2) the European Experience in Paris.2. practice project presentation skills at Mini Jamboree;</li><li>prepare our first poster</ul>,Attended iGEM meetups and presented iGEM project.
27,Aalto-Helsinki,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Aalto-Helsinki,Survey,iGEM Teams,Gain Information for iGEM Project,"<ul><li> To specifically study the relationship of mathematical modeling and laboratory work in iGEM teams and gather information about pitfalls, good practices, and the integration of modeling and laboratory work, create a questionnaire and send it to a number of teams</li><li> Analyze the expectations students have for modeling, how the modeling efforts are organized, and how well modeling and experimentation is integrated in iGEM teams</li><li> Compare results to compositions of professional synthetic biology research groups to see if there are any differences</ul>",Studied the relationship of mathematical modeling and laboratory work in iGEM teams and created a questionnaire for other teams to respond to
28,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,Consult Experts,"Vendors/Businesses, Specialized Audience","Present iGEM Project, Networking",<ul><li> Get funding for project;</li><li> discuss with biotech company synthetic biology</ul>,Met with companies to present iGEM project and get funding.
29,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,Consult Experts,"Professors, University Students",Gain Information for iGEM Project,<ul><li> Brainstorm project idea</li><li> Get specialized knowledge about the biological project and modeling</ul>,Consulted experts to gain more information on cyanobacteria and mathematical modeling.
30,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,Consult Experts,Specialized Audience,Gain Information for iGEM Project,<ul><li>  learn what kind of solutions already exist for the blue green algae problems and current detection methods </ul>,Consulted experts to learn current detection methods for blue-green algae.
31,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,Consult Experts,Vendors/Businesses,Gain Information for iGEM Project,<ul><li> practice presenting skills when we met with different companies and try to gain their sponsorship.</li><li> Discuss the potential commercialization of our project</ul>,Met with companies to present iGEM project and get funding.
32,Aalto-Helsinki,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Aalto-Helsinki,"Consult Experts, Fundraiser",Specialized Audience,Gain Information for iGEM Project,<ul><li> Gain more insight into the problem of cyanobacteria in Finland</ul>,Visited the Finnish Environment Institute to gain information for their iGEM project.
33,Aalto-Helsinki,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Aalto-Helsinki,"Consult Experts, Project Presentation","Scientific Community, Professors","Present iGEM Project, Gain Information for iGEM Project","<ul><li> To get more teams next year and strengthen the iGEM community in Finland, contact biotechnology researchers in two major Finnish universities outside Helsinki</li><li> Welcomed by researchers from Tampere University of Technology and the University of Turku to give a presentation for their students and faculty members</li><li> Visit the universities and talk about synthetic biology, iGEM, our project, and offer help if anyone is interested in starting an iGEM team of their own</li><li> Discuss with the local researchers about their synthetic biology projects and given a tour of their facilities</ul>",Contacted biotechnology researchers and presented project to students and faculty members
34,Aalto-Helsinki,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Aalto-Helsinki,Fair Booth,"General Public, Primary School Students","Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Approach the people behind the science festival Thinkfest, organized by the University of Helsinki in early September</li><li> Receive a major role in organizing a Science picnic, an event oriented mainly towards families</li><li> Bring microscopes for families to check out gram-stained bacteria, glow-in-the-dark bacteria, and a gene gun</li><li> Children can colour their own superhero bacterium with its special ability or play Flappy Coli previously developed by Aalto-Helsinki</li><li> Give a talk on synthetic biology and the project in the center of Helsinki during the event</ul>",Helped organize a science picnic mainly oriented towards families
35,Aalto-Helsinki,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Aalto-Helsinki,Project Presentation,Secondary School Students,"Present iGEM Project, Educate on Synthetic Biology",<ul><li> Meet with high school students on Finnish team of the International Biology Olympiad.</li><li> Present the project and answer their questions</ul>,Met with high school students on Finnish team of the International Biology Olympiad and talked to them about iGEM.
